id,track,category,gold_type,n_gold,n_ranked,P@1,P@3,P@5,P@10,R@1,R@3,R@5,R@10,MRR
k11_01,1-1,cause,ref,1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k11_02,1-1,maintenance,ref,1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k11_03,1-1,maintenance,ref,1,10,0.0,0.0,0.0,0.1,0.0,0.0,0.0,1.0,0.167
k11_04,1-1,concept,ref,1,10,1.0,0.667,0.8,0.5,1.0,1.0,1.0,1.0,1.0
k11_05,1-1,concept,ref,1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k11_06,1-1,inspection,ref,1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k11_07,1-1,concept,ref,1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k11_08,1-1,maintenance,ref,2,10,0.0,0.333,0.6,0.7,0.0,0.5,1.0,1.0,0.5
k11_09,1-1,maintenance,ref,2,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k11_10,1-1,concept,ref,2,10,1.0,0.333,0.2,0.2,0.5,0.5,0.5,0.5,1.0
k11_11,1-1,maintenance,ref,2,10,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0
k11_12,1-1,maintenance,ref,2,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k11_13,1-1,maintenance,ref,2,10,1.0,0.333,0.6,0.7,0.5,0.5,0.5,0.5,1.0
k11_14,1-1,concept,ref,2,10,0.0,0.0,0.2,0.1,0.0,0.0,0.5,0.5,0.25
k11_15,1-1,maintenance,ref,2,10,1.0,0.333,0.4,0.3,0.5,0.5,0.5,0.5,1.0
k11_16,1-1,maintenance,ref,2,10,1.0,1.0,0.8,0.7,0.5,0.5,0.5,1.0,1.0
k11_17,1-1,inspection,ref,2,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k11_18,1-1,maintenance,ref,2,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k11_19,1-1,maintenance,ref,2,10,1.0,0.667,0.4,0.2,0.5,1.0,1.0,1.0,1.0
k11_20,1-1,maintenance,ref,2,10,0.0,0.333,0.2,0.2,0.0,0.5,0.5,0.5,0.5
k11_21,1-1,maintenance,ref,2,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k12_01,1-2,pred_explain,gt,1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k12_02,1-2,pred_response,gt,1,10,1.0,0.667,0.4,0.2,1.0,1.0,1.0,1.0,1.0
k12_03,1-2,pred_response,gt,1,10,0.0,0.333,0.2,0.1,0.0,1.0,1.0,1.0,0.5
k12_04,1-2,pred_response,gt,1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k12_05,1-2,pred_response,gt,1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k12_06,1-2,pred_response,gt,1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k12_07,1-2,pred_variable,gt,1,10,0.0,0.0,0.2,0.1,0.0,0.0,1.0,1.0,0.2
k12_08,1-2,pred_variable,gt,1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
